Question ID,Category,Question Text,Answer Text,CPA Reviewed,Reference Law,Notes
Q001,Bookkeeping,How do I record revenue from annual subscriptions collected upfront?,"A SaaS company should recognize subscription revenue over the service period rather than upfront, because under ASC 606 revenue must align with when the service is delivered rather than when cash is collected, ensuring the income statement accurately reflects performance and preventing an early spike in earnings that could mislead stakeholders; therefore the appropriate entry at receipt is Dr Cash / Cr Deferred Revenue, followed by monthly Dr Deferred Revenue / Cr Subscription Revenue to release one-twelfth of the amount, while tax rules under IRC §451 may also permit limited deferral of prepaid income; however, nuances in contract terms or tax elections can alter treatment, so management should consult a CPA for tailored guidance.",Done,Reference Law: FASB ASC 606-10-25-1 et seq.; IRC §451(c),For SaaS Startup 
Q002,Bookkeeping,Should I recognize deferred revenue for prepaid SaaS contracts?,"Prepaid SaaS contracts require recognizing a deferred-revenue liability at receipt because GAAP treats advance payments as an obligation to deliver future services, so Dr Cash / Cr Deferred Revenue is booked and revenue is subsequently recognized over time as performance obligations are satisfied, which preserves the matching principle and prevents income overstatement; ignoring deferral could misstate both current liabilities and earnings, and although the IRS may tax the income immediately, certain advance-payment deferrals are allowed by election, making professional advice essential.",Done,Reference Law: ASC 606-10-55-47 through 55-49; IRC §451; Rev. Proc. 2004-34,For SaaS Startup 
Q003,Bookkeeping,How do I book Stripe transaction fees?,"Stripe fees should be recorded as an expense separate from gross revenue—book Dr Cash (net deposit), Dr Merchant Fees Expense (Stripe fee), and Cr Sales Revenue (gross charge)—because GAAP requires revenue to be reported gross and fees shown as a selling expense, which yields an accurate gross-margin presentation and transparent cost of processing; netting fees against revenue would understate both sales and expenses, distorting KPIs, so businesses should follow this gross-up approach in the general ledger.",Done,Reference Law: ASC 606 (gross vs. net considerations) and ASC 340-10-25-3 (selling costs),For SaaS Startup 
Q004,Bookkeeping,What's the correct journal entry when a customer pays via ACH but Stripe reports it 2 days later?,"When a customer pays via ACH but Stripe remits funds two days later, recognize revenue and a clearing receivable on the payment date by booking Dr Stripe Receivable / Cr Revenue, then, upon Stripe’s deposit, Dr Cash, Dr Merchant Fees, and Cr Stripe Receivable, Cr Merchant Fee Payable; this two-step treatment respects accrual accounting by matching revenue to when control transfers while reflecting the intermediary’s settlement cycle, and it keeps cash, receivables, and fee expense properly stated.",Done,Reference Law: ASC 606-10-25-30 (control transfer) and ASC 310 (receivables),For SaaS Startup 
Q005,Bookkeeping,How do I account for a refund issued to a customer mid-subscription?,"A mid-subscription refund should be recorded by reversing previously recognized revenue for the unused portion and returning cash to the customer—Dr Sales Returns and Allowances (contra-revenue) and Cr Cash or Accounts Payable—because GAAP requires revenue to reflect amounts the company expects to be entitled to, and issuing a refund indicates the original estimate changed; this ensures net revenue and refund liability are presented fairly.",Done,Reference Law: ASC 606-10-32-10 through 32-14 (variable consideration and refunds),For SaaS Startup 
Q006,Bookkeeping,What’s the journal entry for monthly AWS hosting costs paid by credit card?,"Monthly AWS hosting paid by credit card should be expensed when incurred via Dr Hosting Expense and Cr Credit Card Payable, with subsequent payment Dr Credit Card Payable / Cr Cash, because hosting is a period cost that provides immediate benefit, and using the payable account respects accrual timing while keeping credit-card balances traceable.",Done,Reference Law: ASC 720-15 (general expenses),For SaaS Startup 
Q007,Bookkeeping,How do I record Google Ads expenses that are automatically charged each month?,Automatically charged Google Ads should be recognized as advertising expense at the time the ads run—Dr Advertising Expense / Cr Credit Card Payable—since they create current-period benefits and are ordinary business costs; this classification also supports proper tracking for tax deduction under ordinary and necessary business-expense rules.,Done,Reference Law: ASC 720-35; IRC §162(a),For SaaS Startup 
Q008,Bookkeeping,Should I capitalize or expense software development costs?,"Software-development costs should generally be expensed as incurred during research or preliminary stages, but once technological feasibility (for external software) or the application development stage (for internal-use software) is reached, qualifying costs may be capitalized and amortized, so record Dr Software Intangible Asset / Cr Cash or Payables for capitalizable portions; this dual approach aligns with GAAP’s careful distinction between R&D costs and capitalizable intangibles.",Done,Reference Law: ASC 730 (R&D) and ASC 350-40 (internal-use software),For SaaS Startup 
Q009,Bookkeeping,How do I recognize revenue if our product includes both software and onboarding services?,"When a contract bundles software access and onboarding services, allocate the transaction price between the distinct performance obligations based on relative standalone selling prices, then recognize software revenue ratably and onboarding revenue upon completion, achieved via Dr Deferred Revenue / Cr Revenue entries as each component is satisfied, thereby preventing front-loading or double-counting revenue.",Done,Reference Law: ASC 606-10-32-28 (allocation) and 606-10-25-23 (distinct goods/services),For SaaS Startup 
Q010,Bookkeeping,How should I record venture capital investment proceeds received in our bank account?,"Venture-capital cash received should be recorded as equity: Dr Cash / Cr Common Stock (par) and Cr Additional Paid-In Capital for the excess, because invested funds are not income but owner capital, ensuring liabilities and revenue are not overstated and equity accurately reflects ownership contributions.",Done,Reference Law: ASC 505-10-45 (equity),For SaaS Startup 
